"Onderwerp","Perioden","Totalen","Regio's"
"Bbp marktprijzen in mln euro","2019*","21206","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2019*","24848","Groningen (PV)"
"Bbp marktprijzen in mln euro","2019*","813055","Nederland"
"Bbp marktprijzen in mln euro","2020*","15584","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2020*","20996","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2020*","23243","Groningen (PV)"
"Bbp marktprijzen in mln euro","2020*","800095","Nederland"
"Bbp per inwoner in euro","1995","15003","Fryslân (PV)"
"Bbp per inwoner in euro","1995","16334","Drenthe (PV)"
"Bbp per inwoner in euro","1995","21317","Nederland"
"Bbp per inwoner in euro","1995","22928","Groningen (PV)"
"Bbp per inwoner in euro","1996","15629","Fryslân (PV)"
"Bbp per inwoner in euro","1996","17052","Drenthe (PV)"
"Bbp per inwoner in euro","1996","22190","Nederland"
"Bbp per inwoner in euro","1996","24995","Groningen (PV)"
"Bbp per inwoner in euro","1997","16322","Fryslân (PV)"
"Bbp per inwoner in euro","1997","17809","Drenthe (PV)"
"Bbp per inwoner in euro","1997","23641","Nederland"
"Bbp per inwoner in euro","1997","26305","Groningen (PV)"
"Bbp per inwoner in euro","1998","17422","Fryslân (PV)"
"Bbp per inwoner in euro","1998","18633","Drenthe (PV)"
"Bbp per inwoner in euro","1998","25103","Nederland"
"Bbp per inwoner in euro","1998","26585","Groningen (PV)"
"Bbp per inwoner in euro","1999","18274","Fryslân (PV)"
"Bbp per inwoner in euro","1999","19330","Drenthe (PV)"
"Bbp per inwoner in euro","1999","26528","Nederland"
"Bbp per inwoner in euro","1999","27004","Groningen (PV)"
"Bbp per inwoner in euro","2000","19547","Fryslân (PV)"
"Bbp per inwoner in euro","2000","20584","Drenthe (PV)"
"Bbp per inwoner in euro","2000","28383","Nederland"
"Bbp per inwoner in euro","2000","30303","Groningen (PV)"
"Bbp per inwoner in euro","2001","20919","Fryslân (PV)"
"Bbp per inwoner in euro","2001","22041","Drenthe (PV)"
"Bbp per inwoner in euro","2001","30031","Nederland"
"Bbp per inwoner in euro","2001","33148","Groningen (PV)"
"Bbp per inwoner in euro","2002","21323","Fryslân (PV)"
"Bbp per inwoner in euro","2002","22855","Drenthe (PV)"
"Bbp per inwoner in euro","2002","31032","Nederland"
"Bbp per inwoner in euro","2002","33405","Groningen (PV)"
"Bbp per inwoner in euro","2003","22098","Fryslân (PV)"
"Bbp per inwoner in euro","2003","23288","Drenthe (PV)"
"Bbp per inwoner in euro","2003","31606","Nederland"
"Bbp per inwoner in euro","2003","34153","Groningen (PV)"
"Bbp per inwoner in euro","2004","22500","Fryslân (PV)"
"Bbp per inwoner in euro","2004","23670","Drenthe (PV)"
"Bbp per inwoner in euro","2004","32508","Nederland"
"Bbp per inwoner in euro","2004","34874","Groningen (PV)"
"Bbp per inwoner in euro","2005","23630","Fryslân (PV)"
"Bbp per inwoner in euro","2005","24700","Drenthe (PV)"
"Bbp per inwoner in euro","2005","33755","Nederland"
"Bbp per inwoner in euro","2005","37333","Groningen (PV)"
"Bbp per inwoner in euro","2006","25082","Fryslân (PV)"
"Bbp per inwoner in euro","2006","26472","Drenthe (PV)"
"Bbp per inwoner in euro","2006","35761","Nederland"
"Bbp per inwoner in euro","2006","41033","Groningen (PV)"
"Bbp per inwoner in euro","2007","26639","Fryslân (PV)"
"Bbp per inwoner in euro","2007","28017","Drenthe (PV)"
"Bbp per inwoner in euro","2007","37796","Nederland"
"Bbp per inwoner in euro","2007","42102","Groningen (PV)"
"Bbp per inwoner in euro","2008","27798","Fryslân (PV)"
"Bbp per inwoner in euro","2008","29567","Drenthe (PV)"
"Bbp per inwoner in euro","2008","39354","Nederland"
"Bbp per inwoner in euro","2008","47357","Groningen (PV)"
"Bbp per inwoner in euro","2009","26720","Fryslân (PV)"
"Bbp per inwoner in euro","2009","27481","Drenthe (PV)"
"Bbp per inwoner in euro","2009","37800","Nederland"
"Bbp per inwoner in euro","2009","42348","Groningen (PV)"
"Bbp per inwoner in euro","2010","27169","Fryslân (PV)"
"Bbp per inwoner in euro","2010","27561","Drenthe (PV)"
"Bbp per inwoner in euro","2010","38470","Nederland"
"Bbp per inwoner in euro","2010","43428","Groningen (PV)"
"Bbp per inwoner in euro","2011","28083","Drenthe (PV)"
"Bbp per inwoner in euro","2011","28125","Fryslân (PV)"
"Bbp per inwoner in euro","2011","38960","Nederland"
"Bbp per inwoner in euro","2011","44872","Groningen (PV)"
"Bbp per inwoner in euro","2012","28017","Fryslân (PV)"
"Bbp per inwoner in euro","2012","28361","Drenthe (PV)"
"Bbp per inwoner in euro","2012","38972","Nederland"
"Bbp per inwoner in euro","2012","46602","Groningen (PV)"
"Bbp per inwoner in euro","2013","27945","Fryslân (PV)"
"Bbp per inwoner in euro","2013","28518","Drenthe (PV)"
"Bbp per inwoner in euro","2013","39303","Nederland"
"Bbp per inwoner in euro","2013","47953","Groningen (PV)"
"Bbp per inwoner in euro","2014","28367","Fryslân (PV)"
"Bbp per inwoner in euro","2014","28606","Drenthe (PV)"
"Bbp per inwoner in euro","2014","39820","Nederland"
